date,close,rsi,equity,after_tax_equity,drawdown,running_peak,cumulative_return,after_tax_cumulative_return,cumulative_tax_paid
2017-01-01 00:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-01 04:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-01 08:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-01 12:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-01 16:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-01 20:00:00,998.3250122070312,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 00:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 04:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 08:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 12:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 16:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-02 20:00:00,1021.75,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 00:00:00,1043.8399658203125,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 04:00:00,1043.8399658203125,,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 08:00:00,1043.8399658203125,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 12:00:00,1043.8399658203125,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 16:00:00,1043.8399658203125,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-03 20:00:00,1043.8399658203125,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 00:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 04:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 08:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 12:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 16:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-04 20:00:00,1154.72998046875,100.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 00:00:00,1013.3800048828125,37.9185650142552,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 04:00:00,1013.3800048828125,37.91856501425519,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 08:00:00,1013.3800048828125,37.91856501425519,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 12:00:00,1013.3800048828125,37.91856501425519,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 16:00:00,1013.3800048828125,37.91856501425519,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-05 20:00:00,1013.3800048828125,37.9185650142552,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 00:00:00,902.2009887695312,21.52357098874768,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 04:00:00,902.2009887695312,21.52357098874768,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 08:00:00,902.2009887695312,21.52357098874768,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 12:00:00,902.2009887695312,21.523570988747665,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 16:00:00,902.2009887695312,21.523570988747665,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-06 20:00:00,902.2009887695312,21.523570988747665,100000.0,100000.0,0.0,100000.0,0.0,0.0,943.3282982560321
2017-01-07 00:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-07 04:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-07 08:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-07 12:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-07 16:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-07 20:00:00,908.5850219726562,24.449586510869565,100047.1737693529,100047.1737693529,0.0,100047.1737693529,0.0004717376935290396,0.0004717376935290396,943.3282982560321
2017-01-08 00:00:00,911.198974609375,26.20695763541677,100066.4891448938,100066.4891448938,0.0,100066.4891448938,0.0006648914489379987,0.0006648914489379987,943.3282982560321
2017-01-08 04:00:00,911.198974609375,26.20695763541677,100066.4891448938,100066.4891448938,0.0,100066.4891448938,0.0006648914489379987,0.0006648914489379987,943.3282982560321
